title,originallink,link,description,pubDate
"강석진 이사장, 원전 중소기업 간담회… “사업성장 지원”",https://www.munhwa.com/news/view.html?no=2024051701031607170001,https://n.news.naver.com/mnews/article/021/0002637768?sid=101,"김민호 나다 대표는 “한국 경제의 고도성장을 견인해 온 원자력 발전은 향후 4차 산업혁명 시대를 이끌어갈 청정에너지이자, 에너지 안보를 책임질 핵심 산업”이라며 “원전 협력 중소기업 육성을 위한 <b>정부</b>의 적극적인... ","Fri, 17 May 2024 11:43:00 +0900"
"윤 대통령, 국민의힘 초선들에 &quot;소수 여당이지만 위축되지 말라&quot;",https://news.sbs.co.kr/news/endPage.do?news_id=N1007650512&plink=ORI&cooper=NAVER,https://n.news.naver.com/mnews/article/055/0001155850?sid=100,오늘(17일) 복수의 참석자들에 따르면 윤 대통령은 &quot;<b>정부</b>·여당은 <b>정부</b>·여당으로서의 권한이 있으니 소수라고 기죽지 말고 열심히 해달라&quot;며 이같이 밝혔다고 합니다. 이 과정에서 대통령의 '재의요구권'(거부권)과 <b>정부</b>의... ,"Fri, 17 May 2024 11:43:00 +0900"
[영상] '피격' 슬로바키아 총리 의식 회복…'증오 정치' 자성 목소리,https://www.yna.co.kr/view/AKR20240517066600704?input=1195m,https://n.news.naver.com/mnews/article/001/0014692449?sid=104,슬로바키아 <b>정부</b>와 사법당국은 범인이 정치적 동기에서 계획적으로 피초 총리를 암살하려고 한 것으로 봤습니다. 실제로 범인은 조사 과정에서 피초 총리가 이끄는 <b>정부</b> 정책에 반대한다고 주장한 것으로... ,"Fri, 17 May 2024 11:43:00 +0900"
"이재명 &quot;전세사기법 28일 통과시킬 것…'직무유기' <b>정부</b>, 협조해야&quot;",http://www.sisajournal.com/news/articleView.html?idxno=291147,https://n.news.naver.com/mnews/article/586/0000078794?sid=100,"'덜렁덜렁 계약했다' 발언에 &quot;<b>정부</b>, 피해자 사지로 몰아&quot; 이재명 더불어민주당 대표는 전세사기 피해자를 '선... 이 대표는 17일 국회에서 열린 최고위원회의에서 이같이 밝힌 뒤 &quot;<b>정부</b> 여당도 개정안 통과에 협조해야 한다.... ","Fri, 17 May 2024 11:43:00 +0900"
"美 유력 일간지 보스턴글로브, 성남시 ‘솔로몬의 선택’ 집중 조명",http://www.inews24.com/view/1720583,https://n.news.naver.com/mnews/article/031/0000837366?sid=004,신 시장은 보스턴글로브와의 인터뷰에서 “저출산 문제가 워낙 심각해 20년 전부터 <b>정부</b>와 국회의원들이 다양한 정책을 내놓고 있지만 큰 효과를 보지 못한 실정”이라며 “사업 초기에는 왜 시가 중매 역할을... ,"Fri, 17 May 2024 11:42:00 +0900"
"[기자수첩]납골당 이전, '당근'하라는 업체",https://view.asiae.co.kr/article/2024051615550104523,https://n.news.naver.com/mnews/article/277/0005419658?sid=110,"법의 사각지대 때문에 국민이 피해를 보는데 <b>정부</b>가 손을 놓고 있어야 하겠는가. 국회도 ‘장사 등에 관한 법률’에 납골당 계약의 성질을 명확히 규정할 필요가 있다. 업체가 계약자에게 당근 거래를 권하고, 소비자끼리... ","Fri, 17 May 2024 11:42:00 +0900"
"전남도, 중소벤체기업부 '글로벌 강소기업'에 지역 7개 기업 선정",http://www.newsmaker.or.kr/news/articleView.html?idxno=151549,http://www.newsmaker.or.kr/news/articleView.html?idxno=151549,"지금까지 지정된 글로벌 강소기업 25개 사는 전년 대비 매출액 3.6%(342억 원), 수출액 7.6%(2천700만 달러) 증가, <b>정부</b> 연구 개발 과제 3개 사 선정(54억 원) 등 두드러진 성장세를 나타냈다. 위광환 전남도... ","Fri, 17 May 2024 11:42:00 +0900"
박찬대 “검찰 인사 뒤 김건희 여사 공개 행보...공교로워”,https://vop.co.kr/A00001653810.html,https://vop.co.kr/A00001653810.html,지난해 말 명품 가방 수수 의혹이 불거진 김 여사는 그해 12월 15일 네덜란드 순방 이후 공개 행보에 나서지 않아 왔다.박 원내대표는 김 여사 수사는 윤석열 <b>정부</b>의 불공정과 검찰의 편파수사를 보여주는 대표 사례라며... ,"Fri, 17 May 2024 11:42:00 +0900"
"복원 익산 미륵사 중문, 디지털 실감콘텐츠로 만난다",http://www.inews24.com/view/1720604,https://n.news.naver.com/mnews/article/031/0000837371?sid=102,익산 미륵사지의 디지털 복원은 지난 2022년 새 <b>정부</b>가 출범하며 국정과제로 채택됐다. 이에 문화재청 국립문화재연구원(원장 김연수)은 지난해 미륵사 중문을 증강현실기술을 통해 실감형 콘텐츠로 복원했다.... ,"Fri, 17 May 2024 11:42:00 +0900"
<b>정부</b> &quot;사법부 '현명한 판결' 감사... 의료개혁 박차&quot;,http://www.hg-times.com/news/articleView.html?idxno=261407,http://www.hg-times.com/news/articleView.html?idxno=261407,세종시 <b>정부</b>세종청사 상황실에서 열린 의사 집단행동 중앙재난안전대책본부 회의에서 비상진료체계 운영 상황과 지자체 대응상황 등을 점검하고 있다. (사진=뉴시스) 한강타임즈 윤종철 기자 = <b>정부</b>가 의대 증원 집행정지... ,"Fri, 17 May 2024 11:42:00 +0900"
